aX,aY,aZ,gX,gY,gZ
-0.014,0.158,-0.516,-45.410,-48.218,-22.461
-0.016,0.110,-0.419,-52.856,-61.951,-27.649
-0.023,0.060,-0.359,-62.195,-72.449,-32.410
-0.005,0.006,-0.340,-65.430,-79.956,-34.912
-0.007,-0.023,-0.299,-63.904,-90.088,-37.292

-0.432,-0.638,1.512,-27.405,-85.999,-90.698
-0.509,-0.825,1.304,-29.663,-72.083,-83.740
-0.559,-0.904,1.328,-43.396,-83.313,-65.125
-0.523,-0.728,1.635,-56.458,-104.126,-37.231
-0.479,-0.575,2.083,-49.255,-124.146,-17.456
-0.460,-0.519,2.669,-6.653,-134.460,-14.893
-0.418,-0.647,2.765,41.931,-107.605,-28.137
-0.352,-0.750,2.567,67.566,-64.209,-38.513
-0.287,-0.745,2.316,79.956,-30.884,-31.372
-0.218,-0.762,2.237,84.351,-15.381,-28.442
-0.235,-0.887,2.247,95.215,-7.935,-36.743
-0.193,-1.004,2.190,99.365,9.338,-37.415
-0.174,-1.019,2.261,92.590,23.193,-28.625
-0.178,-1.164,2.377,110.962,31.311,-34.668
-0.108,-1.313,2.223,135.010,47.913,-47.852
-0.260,-1.323,1.960,153.137,61.096,-51.941
-0.249,-1.358,1.736,151.489,76.233,-46.021
-0.171,-1.636,1.522,72.327,108.459,-27.405
-0.134,-1.619,1.292,44.312,115.784,16.968
-0.205,-1.185,1.267,16.479,95.215,80.200
-0.010,-0.812,1.471,-62.439,82.092,96.313
0.111,-0.684,1.726,-122.986,78.674,71.838
0.062,-0.741,1.850,-143.127,82.581,36.133
0.067,-0.817,1.876,-144.653,94.971,10.071
0.056,-0.865,1.762,-94.666,112.427,2.319
0.012,-0.965,1.534,19.226,126.587,10.376
-0.017,-1.045,1.352,134.399,128.723,34.546
-0.072,-0.994,1.322,210.205,121.643,64.392
-0.089,-0.880,1.316,283.813,121.704,92.957
-0.091,-0.878,1.199,376.099,129.700,120.300
-0.119,-0.856,0.977,420.410,137.512,149.292
-0.071,-0.699,0.752,375.793,140.930,192.200
-0.004,-0.380,0.529,291.687,132.996,234.009
0.062,0.047,0.512,145.386,124.878,252.319
0.103,0.295,0.517,50.964,113.037,228.699
0.126,0.356,0.486,10.437,100.464,177.856
