aX,aY,aZ,gX,gY,gZ
-0.209,1.565,0.916,-9.521,23.132,-4.333
-0.219,1.555,0.863,-10.681,32.654,-17.090
-0.243,1.554,0.770,-7.690,42.358,-28.381
-0.267,1.565,0.663,-9.155,50.354,-40.283
-0.274,1.560,0.549,-12.207,53.528,-56.702
-0.273,1.530,0.458,-13.184,50.049,-77.026
-0.280,1.469,0.413,-17.212,37.537,-101.257
-0.293,1.352,0.433,-22.339,18.372,-128.601
-0.299,1.196,0.507,-28.687,-3.174,-154.541
-0.306,1.020,0.601,-32.715,-21.057,-177.673
-0.319,0.833,0.694,-34.851,-32.410,-197.144
-0.329,0.642,0.767,-36.438,-36.804,-212.952
-0.361,0.457,0.805,-32.227,-35.461,-222.534
-0.408,0.284,0.809,-24.597,-32.654,-224.915
-0.417,0.135,0.799,-18.250,-30.823,-221.802
-0.411,0.017,0.802,-12.878,-34.546,-214.722
-0.448,-0.085,0.835,-8.728,-44.861,-207.642
-0.471,-0.165,0.910,-6.592,-59.265,-199.524
-0.491,-0.210,1.015,-6.531,-73.792,-188.416
-0.499,-0.220,1.140,-5.371,-84.045,-177.185
-0.500,-0.243,1.250,-5.981,-87.769,-171.570
-0.499,-0.309,1.360,-12.390,-86.609,-175.964
-0.505,-0.430,1.454,-18.005,-81.970,-187.317
-0.519,-0.575,1.514,-17.639,-72.693,-197.021
-0.528,-0.734,1.535,-12.390,-59.509,-199.280
-0.524,-0.875,1.539,-10.742,-45.349,-194.214
-0.519,-0.983,1.532,-11.230,-31.799,-182.068
-0.498,-1.070,1.502,-11.719,-19.409,-165.344
-0.473,-1.150,1.471,-16.174,-7.874,-149.048
-0.440,-1.211,1.428,-18.555,0.916,-132.629
-0.426,-1.244,1.378,-18.311,7.446,-114.197
-0.418,-1.260,1.332,-18.494,12.085,-94.849
-0.397,-1.267,1.299,-24.231,14.832,-76.904
-0.365,-1.280,1.288,-34.668,15.747,-63.416
-0.341,-1.310,1.297,-39.307,16.846,-53.101
-0.338,-1.348,1.291,-29.236,19.165,-40.588
-0.335,-1.364,1.275,-18.311,22.949,-23.254
-0.322,-1.327,1.244,-10.071,28.198,-0.610
-0.309,-1.238,1.196,-5.249,33.875,24.963
-0.291,-1.126,1.139,-3.845,38.879,47.424
-0.269,-1.030,1.075,-4.578,44.189,63.782
-0.255,-0.974,0.988,-2.441,49.438,73.730
-0.251,-0.939,0.902,0.488,51.819,81.238
-0.250,-0.908,0.844,2.502,48.584,90.271
-0.253,-0.868,0.817,4.272,40.161,101.318
-0.248,-0.799,0.830,6.836,29.846,115.356
-0.251,-0.703,0.865,11.536,20.081,131.836
-0.265,-0.592,0.921,12.817,12.146,147.888
-0.248,-0.487,0.975,7.385,8.423,159.485
-0.236,-0.395,1.006,0.061,9.583,166.565
-0.231,-0.311,1.010,-7.263,16.113,171.875
-0.233,-0.234,0.967,-10.925,25.696,176.819
-0.200,-0.154,0.908,-12.878,33.936,182.617
-0.189,-0.069,0.851,-10.986,37.537,188.843
-0.187,0.040,0.818,-4.700,35.034,196.899
-0.203,0.182,0.811,3.723,27.771,208.679
-0.233,0.354,0.838,11.780,17.883,221.924
-0.257,0.537,0.876,18.433,8.789,233.032
-0.304,0.731,0.921,21.301,2.014,240.356
-0.333,0.910,0.962,25.085,-2.136,241.211
-0.358,1.055,1.000,29.236,-6.042,233.521
-0.376,1.161,1.046,31.250,-11.719,218.750
-0.385,1.231,1.106,24.597,-15.564,201.172
-0.403,1.292,1.165,15.930,-15.503,184.143
-0.391,1.361,1.213,10.498,-11.292,169.861
-0.379,1.426,1.229,10.193,-3.479,156.799
-0.362,1.491,1.213,9.521,8.301,143.433
-0.345,1.568,1.163,7.446,24.170,129.333
-0.329,1.642,1.076,5.188,39.978,113.464
-0.338,1.707,0.966,1.404,54.382,94.971
-0.345,1.747,0.838,-2.930,65.735,73.853
-0.350,1.766,0.718,-6.042,70.313,50.964
-0.348,1.777,0.630,-9.033,66.101,28.564
-0.356,1.774,0.573,-11.230,55.908,7.996
-0.357,1.754,0.546,-15.747,44.067,-12.146
-0.356,1.719,0.529,-18.494,32.715,-33.203
-0.362,1.651,0.522,-23.560,22.766,-55.847
-0.345,1.560,0.523,-31.677,14.893,-80.383
-0.344,1.456,0.520,-32.654,10.437,-104.309
-0.359,1.352,0.512,-25.024,8.301,-125.000
-0.360,1.264,0.490,-13.367,6.470,-139.832
-0.388,1.186,0.473,-4.883,2.380,-152.771
-0.422,1.109,0.473,-4.028,-4.089,-166.382
-0.423,1.028,0.488,-5.554,-12.268,-180.725
-0.447,0.934,0.498,-4.211,-22.461,-196.655
-0.485,0.818,0.519,-5.371,-32.043,-215.149
-0.451,0.661,0.526,-5.188,-41.443,-239.075
-0.507,0.426,0.568,-12.878,-52.490,-269.409
-0.515,0.156,0.623,-24.536,-65.796,-295.349
-0.542,-0.116,0.702,-21.606,-81.543,-311.401
-0.570,-0.371,0.816,-13.428,-98.633,-313.416
-0.594,-0.578,0.947,-3.662,-113.953,-299.683
-0.603,-0.722,1.084,3.174,-124.573,-273.010
-0.597,-0.793,1.239,7.324,-128.723,-238.770
-0.610,-0.828,1.348,20.447,-125.793,-203.369
-0.591,-0.824,1.444,23.193,-116.394,-171.936
-0.565,-0.817,1.506,18.616,-103.210,-150.330
-0.544,-0.841,1.557,9.399,-89.539,-141.418
-0.525,-0.917,1.598,-2.014,-77.148,-143.616
-0.510,-1.047,1.633,-11.902,-66.162,-152.161
-0.516,-1.209,1.662,-19.775,-55.725,-157.776
-0.516,-1.370,1.689,-23.743,-44.434,-153.320
-0.499,-1.497,1.707,-25.879,-30.396,-138.184
-0.482,-1.577,1.711,-26.062,-14.648,-113.159
-0.458,-1.599,1.672,-23.499,2.747,-81.787
-0.428,-1.569,1.602,-20.630,21.545,-48.401
-0.403,-1.494,1.494,-13.977,39.185,-16.418
-0.379,-1.387,1.369,-8.301,53.223,12.024
-0.354,-1.284,1.248,-4.333,61.890,35.400
-0.331,-1.196,1.146,-3.357,63.721,53.101
